,text,target
0,"Что лучше, взять беспроцентный кредит или положить на выгодный депозит?Лучше взять и положить на обоих. Приманки придумали не для того, чтобы кормить, а для того, чтобы ловить.",деньги
1,"Чтобы уважали, мало иметь много денег, надо еще и не мелочиться.",деньги
2,- Путин это стабильность.- Это когда рубль обваливается вдвое?- Какая есть.,деньги
3,"БЛАГОРОДНЫЙ МЕНТ""Есть тысяча способов быть очень дурным человеком, не нарушая ни одного закона""(Анна Де Сталь)Сегодня я увидел благородного мента. Да, такие ещё встречаются, хотя всё реже и реже. В последний раз я наблюдал такого лет двадцать пять тому назад, на «встречке» под Костромой, он отказался от взятки (хоть я и предлагал), оштрафовал по всей строгости закона, но на прощание подлил мне литров пять бензина, чтобы я смог дотянуть до заправки. Хороший человек, дай Бог ему здоровья.   А сегодня дело было в Ашане, позади касс: подошел полицейский к гражданину узбекской наружности, браво козырнул и попросил предъявить документы.Узбек смутился, машинально похлопал себя по карманам и с заискивающей улыбкой ответил:- Я документы не тут. Документы там есть. Там стройка жи есть, тут, рядом. Я работаешь, документы там. Документы всё хорошо, нормально.- Ну, если документы нормально, то это хорошо, пройдемте, посмотрим, тем более, что это рядом. Проверим и я вас отпущу.- А можно пожалуйста ещё чуть-чуть? Я же деньги дал, хотел пробовать. Сто рублей дал. Раньше вообще не пробовал никогда, только хотел. Такой хороший работает, ды-ды-ды-ды р-р-р-р.- Ну, раз деньги дали, то ладно, я подожду, не торопитесь. А долго ждать?Узбек посмотрел на несуществующие часы на руке и ответил:- Ну, пять минут чуть-чуть.Полицейский кивнул и принялся терпеливо ждать. И ведь честно дождался до самого окончания ""ды-ды-ды-ды р-р-р-р"" и не пять минут, а побольше.Я специально время засёк, только спустя целых двенадцать минут, довольный узбек нехотя поднялся с глубокого массажного кресла и поплелся впереди полицейского на выход…",деньги
4,"Господи, сделай так, чтобы я каждое утро просыпался от эсэмэски о поступлении денег на карточку!",деньги
5,"Благодаря Путину россияне чаще стали думать о высоком, например о ценах на бензин.",деньги
6,"Деньги только исправных людей портят, а испорченных - доламывают.",деньги
7,"Старшая сестра приехала в Одессу в гости к младшей и однажды спросила: - Циля, а сколько ты здесь зарабатываешь? - Две тысячи. - Долларов или евро? - Сара, ты что, таки хочешь увидеть мои слёзы?",деньги
8,"Хоть здесь и не любят книгу жало и предложений, но считаю нужным поделиться о мерах Банка России  по уважению к национальным денежным единицам. Весело не очень, но кажется забавным отношение государства и государевых людей к государственным же деньгамМесяц назад в одном из сетевых магазинов, славящихся своими просроченными товарами и быдлопродавцами, у женщины на кассе отказались принять мелкие монеты (5 штук по 10 копеек) установленного образца и имеющие хождение в Российской Федерации, в уплату за товар. Тем более, что других денег у нее не было и не хватало на покупку. Продавец отказался вызвать администратора зала, и мне пришлось кричать его самому. Не спеша подошедший молодой человек, ранее следящий за мониторами, сказал, что он не распоряжается кассирами. Деньги магазину пришлось взять после скандала.На обращение в Центробанк по поводу случившегося я получил ответ, что этим занимается Роспотребнадзор, куда и было переслано мое заявление. И вот, спустя месяц (!), определенный законом, получаю ответ, что оснований для административного дела нет, и предложением обращаться в суд по КАЖДОМУ случая в отказе в приме денег установленного образца в торговых точках.Простите, но о каком уважении к денежной валюте родного государства со стороны граждан может идти речь, если к ней так относятся чиновничьи органы? И что будет, если я откажусь принимать мелочь в магазине на сдачу и буду требовать только крупными купюрами? А в транспорте, где с сотки дают сдачу только металлом?",деньги
9,"К нам в офис приходила женщина и обновляла программу для бухгалтеров. Она была достаточно коммуникабельной и порой задерживалась у нас чтоб поболтать. Ее ""фишка"" - экономия во всем. Но за этой экономией стояла благая цель - семья любила путешествовать. Она могла долго рассказывать о том, в какие страны они ездили и где ей удалось купить вещи по символической цене. - Вот эту юбку я купила в Испании на барахолке всего за 3 доллара! Попутно шли рассказы о экономии в быту: - Ну и что, что у нас седУшка на унитазе деревянная, зато экологически чисто! Или, например, давала супер рецепт приготовления котлет: - А мы когда котлеты делаем, на килограмм мяса добавляем килограмм хлеба. Ну и все в таком духе. Когда она уходила, мы долго сидели молча ""переваривая"" услышанное. Каждый новый визит этой женщины будоражил наш маленький коллектив. Зарплаты у нас были небольшие и мы много чего не могли себе позволить, но даже при таком раскладе все сходились во мнении, что это явный ""перегиб"". Однажды она так разоткровенничалась, что рассказала грустную историю о своей семье. Ее старшая дочь далеко не красавица,  стала встречаться с молодым человеком. Пара объявила родителям о своем намерении пожениться. НО! Пожениться они намеревались в летом. Родители были не против, просто просили перенести свадьбу на осень, т.к. можно было сэкономить на овощах. Осенью уже будет все свое с огорода!!! На том и порешили. На ту беду жениха осенью от института отправили на картошку. Там он встретил какую-то девицу, переспал с ней и она благополучно ""залетела"". Жених явился с повинной головой: - Я люблю тебя, но как порядочный человек должен жениться на другой.  После этой истории мы выпали в осадок. Долго эта тема не давала нам покоя. Иногда лучше не экономить, наверное........",деньги
